sens, spec, tp, fp, fn, tn, strategy, searchlevel
98.5, 29.4, 7802051, 61776747, 119193, 25667654, frontier-jacc, 0
92.1, 99.5, 2429015, 434738, 208788, 92293104, frontier-jacc, 0
98.3, 38.7, 4817775, 55431511, 85075, 35031284, frontier-jacc, 0
91.5, 99.9, 3298736, 98453, 305590, 91662866, frontier-jacc, 0
92.7, 93.5, 14544144, 5142769, 1139768, 74538964, frontier-jacc, 0
99.6, 19.6, 13438716, 65869259, 49556, 16008114, frontier-jacc, 0
97.9, 33.1, 15300741, 53382057, 321289, 26361558, frontier-jacc, 0
82.8, 87.6, 17535105, 9210139, 3648125, 64972276, frontier-jacc, 0
97.1, 7.0, 8657589, 80359357, 260618, 6088081, frontier-jacc, 0
98.2, 7.0, 8758663, 80358853, 161107, 6087022, frontier-jacc, 0
90.2, 69.5, 11146045, 25318637, 1208434, 57692529, frontier-jacc, 0
92.8, 57.1, 10090618, 36242105, 783162, 48249760, frontier-jacc, 0
97.5, 36.2, 7567108, 55919872, 197953, 31680712, frontier-jacc, 0
89.8, 71.8, 7805715, 24472043, 890331, 62197556, frontier-jacc, 0
98.4, 16.1, 8877008, 72470814, 141785, 13876038, frontier-jacc, 0
