sens, spec, tp, fp, fn, tn, strategy, searchlevel
78.4, 93.7, 6211828, 5529768, 1709416, 81914633, gathermins2, 3
99.0, 99.2, 2610206, 708134, 27597, 92019708, gathermins2, 3
85.6, 96.6, 4197699, 3093238, 705151, 87369557, gathermins2, 3
98.1, 99.1, 3534326, 850407, 70000, 90910912, gathermins2, 3
74.4, 96.5, 11667426, 2815186, 4016486, 76866547, gathermins2, 3
71.7, 95.2, 9672473, 3898059, 3815799, 77979314, gathermins2, 3
72.1, 92.5, 11268530, 5948723, 4353500, 73794892, gathermins2, 3
57.2, 94.9, 12113705, 3773331, 9069525, 70409084, gathermins2, 3
24.8, 99.8, 2213005, 167085, 6705202, 86280353, gathermins2, 3
18.4, 99.7, 1637686, 227678, 7282084, 86218197, gathermins2, 3
44.5, 96.0, 5493320, 3294251, 6861159, 79716915, gathermins2, 3
60.3, 95.3, 6560606, 3931621, 4313174, 80560244, gathermins2, 3
60.2, 93.2, 4672908, 5942604, 3092153, 81657980, gathermins2, 3
67.3, 91.1, 5848554, 7730283, 2847492, 78939316, gathermins2, 3
79.6, 99.9, 7181842, 105416, 1836951, 86241436, gathermins2, 3
